social_class,race,age,sex,college_degree,income_category,religion,religious_service_freq,party_id_3cat,party_id_7cat,ft_hillary_clinton,ft_donald_trump,ft_libertarian_pres_cand,ft_green_pres_cand,ft_john_roberts,ft_pope_francis,ft_christian_fundamentalists,ft_feminists,ft_liberals,ft_labor_unions,ft_poor_people,ft_big_business,ft_conservatives,ft_us_supreme_court,ft_gay_men_and_lesbians,ft_congress,ft_rich_people,ft_muslims,ft_christians,ft_jews,ft_tea_party,ft_police,ft_transgender_people,ft_scientists,ft_black_lives_matter
Middle Class,White,19,Male,No College Degree,Less than $50k,Mainline Protestant,A Few Times a Year,Republican,Weak Republican,0,75,98,0,60,50,75,0,11,50,41,79,97,82,2,49,70,16,100,51,50,41,0,50,0
NA,White,NA,Male,College Degree,NA,Jewish,A Few Times a Year,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Black,63,Female,No College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,NA,Male,No College Degree,Less than $50k,Mainline Protestant,Once or Twice a Month,Independent,"Independent, leans Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Class,Other,57,Male,College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Republican",3,42,40,51,61,51,3,51,1,15,60,31,50,40,99,1,30,51,17,98,49,97,84,71,2
Middle Class,White,48,Male,No College Degree,Between $100k and $250k,Evangelical Protestant,Almost Every Week,Democrat,Weak Democrat,30,70,NA,NA,72,85,61,28,61,71,61,52,62,60,25,61,41,16,88,52,71,86,51,71,31
Working Class,Black,20,Male,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,37,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Other,"Independent, leans Republican",0,70,70,30,50,85,50,50,0,60,100,50,85,100,100,0,50,40,100,100,60,100,50,100,0
Upper Class,Asian/Pacific Islander,58,Male,College Degree,More than $250k,Other Religion,NA,Democrat,Strong Democrat,60,0,0,15,40,100,0,85,85,70,70,0,15,60,100,0,40,70,0,100,0,60,85,100,40
Middle Class,White,22,Male,College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Democrat",70,0,60,40,40,85,0,85,85,50,50,70,50,50,100,30,50,85,50,85,0,60,50,100,50
Working Class,White,24,Male,College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans neither",0,50,50,0,30,30,30,0,15,15,30,30,25,25,40,40,40,0,40,25,50,30,0,30,0
Working Class,White,51,Female,No College Degree,Less than $50k,Mainline Protestant,NA,Independent,"Independent, leans neither",15,40,50,60,60,70,70,100,85,70,85,60,30,60,60,60,60,50,100,50,70,70,60,85,70
Middle Class,Asian/Pacific Islander,21,Male,No College Degree,Between $100k and $250k,Not Religious,NA,Independent,"Independent, leans neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,59,Male,College Degree,Between $100k and $250k,Not Religious,NA,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,60,Female,No College Degree,More than $250k,Roman Catholic,Once or Twice a Month,Republican,Weak Republican,15,NA,40,50,70,85,NA,60,40,40,100,70,85,85,NA,40,70,70,100,85,60,85,70,85,0
Middle Class,White,NA,NA,College Degree,NA,Roman Catholic,Once or Twice a Month,Democrat,Strong Democrat,75,0,10,50,40,90,0,100,100,100,100,40,35,40,100,0,40,50,30,100,0,80,70,100,80
Working Class,White,27,Female,College Degree,Between $100k and $250k,Roman Catholic,Once or Twice a Month,Republican,Weak Republican,15,20,60,15,50,95,10,90,10,0,70,90,70,50,90,50,80,90,100,90,30,65,90,90,40
Middle Class,Other,54,Female,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,98,0,0,0,0,100,100,100,100,100,100,100,40,85,100,0,100,100,100,100,0,100,100,100,100
Upper Class,White,40,Female,College Degree,More than $250k,Jewish,Once or Twice a Month,Democrat,Strong Democrat,100,0,55,15,60,75,0,100,100,100,100,50,60,70,100,0,50,100,60,100,0,60,100,100,96
NA,Asian/Pacific Islander,68,Male,College Degree,Between $100k and $250k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans neither",0,60,70,70,60,30,40,50,30,50,60,15,70,50,50,0,50,60,60,50,60,85,50,60,0
Lower Class,Black,35,Female,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,85,60,60,63,60,15,100,0,60,40,70,15,30,40,0,40,30,0,100,50,30,15,0,15,85
Middle Class,White,42,Female,No College Degree,Between $100k and $250k,Roman Catholic,A Few Times a Year,Independent,"Independent, leans neither",30,70,50,0,50,85,50,30,50,30,100,50,50,40,60,50,50,85,50,100,50,100,30,50,60
Middle Class,White,65,Male,College Degree,Between $50k and $100k,Mainline Protestant,Every Week,Democrat,Strong Democrat,85,0,15,50,50,85,0,85,85,85,85,40,70,50,100,50,50,85,85,85,0,60,100,70,85
Middle Class,White,66,Male,No College Degree,Between $100k and $250k,Jewish,NA,Democrat,Strong Democrat,60,15,NA,60,50,100,40,50,70,60,50,40,40,60,50,15,50,50,60,50,30,50,50,50,50
NA,White,50,Female,No College Degree,Between $50k and $100k,Roman Catholic,Every Week,Democrat,Strong Democrat,85,50,50,50,50,100,60,70,50,100,70,50,50,60,70,15,70,60,85,50,50,85,50,60,30
NA,Asian/Pacific Islander,NA,Female,College Degree,More than $250k,Other Religion,Once or Twice a Month,Democrat,Strong Democrat,94,50,38,37,66,100,72,92,85,51,85,51,51,70,100,38,52,85,NA,100,50,69,100,100,68
Working Class,Hispanic,90,Female,No College Degree,Between $50k and $100k,Roman Catholic,NA,Democrat,Strong Democrat,100,50,60,50,50,100,85,73,85,85,100,70,85,100,85,100,70,70,100,85,70,98,85,85,85
Working Class,White,32,Male,College Degree,Less than $50k,Mainline Protestant,NA,Independent,"Independent, leans Democrat",60,0,41,72,60,86,7,90,69,58,43,22,59,58,86,36,30,61,61,58,70,73,67,79,6
Working Class,White,33,Male,College Degree,Between $50k and $100k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Republican",30,30,60,NA,50,60,50,50,40,40,50,60,60,60,85,0,40,50,70,60,60,60,40,70,30
Working Class,White,25,Female,College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,70,0,15,31,NA,60,10,85,70,NA,50,0,30,65,85,55,0,75,40,85,10,60,85,95,65
Middle Class,White,48,Female,College Degree,Between $100k and $250k,Undifferentiated Christian,A Few Times a Year,Democrat,Strong Democrat,85,0,0,0,30,85,0,95,95,50,70,45,5,45,90,0,45,65,50,90,0,60,85,95,85
NA,White,31,Female,College Degree,Between $100k and $250k,Undifferentiated Christian,Once or Twice a Month,Independent,"Independent, leans neither",40,70,50,50,50,50,50,30,51,30,40,70,70,40,50,60,42,50,90,50,50,85,50,69,57
NA,White,41,Male,No College Degree,Between $50k and $100k,Evangelical Protestant,Almost Every Week,Republican,Strong Republican,4,86,51,51,50,86,100,31,14,48,50,52,91,50,49,18,53,50,100,49,49,80,51,85,50
NA,Asian/Pacific Islander,84,Male,No College Degree,Less than $50k,Mainline Protestant,NA,Independent,"Independent, leans neither",1,0,1,NA,60,70,50,51,49,50,69,50,48,83,50,50,50,50,49,68,50,85,50,84,50
NA,Hispanic,43,Female,College Degree,Less than $50k,Roman Catholic,NA,Independent,"Independent, leans Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,32,Female,No College Degree,Between $100k and $250k,Undifferentiated Christian,Every Week,Independent,"Independent, leans neither",0,85,50,50,50,100,100,0,50,50,70,50,50,100,60,50,50,0,100,100,70,100,0,85,15
Lower Class,White,25,Male,No College Degree,Between $50k and $100k,Roman Catholic,NA,Independent,"Independent, leans Democrat",0,60,40,40,40,70,30,15,70,85,100,30,50,40,100,60,40,85,50,70,30,40,100,100,30
NA,Asian/Pacific Islander,NA,Male,College Degree,NA,Evangelical Protestant,Every Week,Independent,"Independent, leans Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,57,Male,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Democrat,Strong Democrat,66,2,59,60,52,70,59,71,87,84,84,6,2,32,60,2,2,62,84,70,2,71,61,70,59
NA,White,19,Male,No College Degree,Less than $50k,Undifferentiated Christian,Almost Every Week,Democrat,Weak Democrat,1,96,31,0,97,17,36,2,1,51,60,61,98,71,69,32,60,0,83,99,71,77,51,60,16
Working Class,Black,32,Female,College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Democrat,Weak Democrat,85,0,40,30,60,85,50,85,85,70,100,70,70,70,100,50,85,100,100,100,50,40,100,100,100
NA,White,56,Male,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Independent,"Independent, leans Republican",10,70,50,10,90,52,95,10,40,50,70,61,90,62,60,70,60,25,95,95,70,95,60,70,5
Middle Class,White,50,Male,No College Degree,More than $250k,Mainline Protestant,Once or Twice a Month,Republican,Weak Republican,60,6,31,61,71,90,15,80,75,60,74,61,16,70,85,60,75,80,70,85,70,80,80,95,40
Middle Class,White,NA,Female,No College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans neither",61,0,50,51,54,50,51,85,68,63,60,63,64,60,74,68,54,61,63,68,62,69,72,78,50
Middle Class,Black,53,Female,No College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Democrat,Strong Democrat,85,1,NA,1,50,70,1,50,51,50,85,50,2,52,51,2,NA,72,84,51,0,50,51,85,61
Middle Class,White,48,Female,No College Degree,Between $50k and $100k,Roman Catholic,NA,Independent,"Independent, leans Republican",50,65,50,70,75,100,50,50,50,70,100,50,50,85,50,40,50,100,100,100,50,100,50,85,50
Lower Class,White,25,Male,No College Degree,Less than $50k,Undifferentiated Christian,NA,Democrat,Weak Democrat,41,60,50,70,50,85,50,0,40,95,90,70,85,60,100,40,41,100,85,100,50,15,100,100,40
Working Class,White,77,Male,No College Degree,Between $100k and $250k,Roman Catholic,Almost Every Week,Other,"Independent, leans Republican",30,70,50,50,85,100,100,50,40,50,60,70,85,70,85,40,50,85,100,100,85,85,85,70,0
Middle Class,Hispanic,19,Female,No College Degree,Between $50k and $100k,Not Religious,NA,Democrat,Strong Democrat,82,0,51,71,85,95,53,97,69,84,97,80,86,80,95,98,73,88,63,72,62,69,68,85,98
Middle Class,White,82,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Strong Republican,0,85,50,40,85,100,100,30,0,0,85,60,100,70,0,60,70,50,100,70,60,85,0,30,0
Upper Class,White,42,Female,No College Degree,More than $250k,Not Religious,NA,Independent,"Independent, leans neither",5,55,42,15,30,25,0,55,NA,0,65,5,75,90,100,15,55,0,0,75,0,15,100,100,NA
Middle Class,White,22,Male,College Degree,Between $100k and $250k,Roman Catholic,A Few Times a Year,Independent,"Independent, leans Republican",20,65,60,85,50,85,50,40,70,40,70,30,70,85,85,30,50,85,85,85,60,70,50,100,15
Middle Class,White,39,Female,College Degree,Less than $50k,Evangelical Protestant,NA,Independent,"Independent, leans Republican",15,40,70,50,60,85,30,50,50,40,60,40,60,60,60,40,40,60,85,70,60,85,60,85,15
Working Class,Black,35,Female,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Democrat,Strong Democrat,15,59,50,16,49,52,71,50,50,51,85,52,51,51,70,40,40,60,96,86,52,41,62,99,87
NA,NA,58,Male,No College Degree,Less than $50k,Undifferentiated Christian,Every Week,Republican,Strong Republican,0,85,15,0,85,0,100,50,50,50,100,85,85,85,50,70,NA,50,100,85,85,100,50,50,0
Lower Class,White,32,Male,No College Degree,Between $50k and $100k,Not Religious,NA,Democrat,Weak Democrat,79,15,50,50,50,99,0,85,80,60,100,40,40,85,85,40,50,75,60,70,15,85,50,100,50
NA,White,34,Male,No College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,36,Female,College Degree,Between $100k and $250k,Evangelical Protestant,A Few Times a Year,Republican,Weak Republican,25,70,62,NA,NA,85,60,52,59,NA,88,20,91,69,99,NA,85,90,95,92,75,78,97,94,59
Working Class,Black,29,Female,No College Degree,Less than $50k,Mainline Protestant,A Few Times a Year,Independent,"Independent, leans neither",60,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,100
Middle Class,White,68,Male,College Degree,Between $100k and $250k,Undifferentiated Christian,Every Week,Republican,Strong Republican,0,80,10,5,65,40,90,30,10,10,90,70,90,60,50,60,85,50,100,90,70,100,50,85,0
Upper Class,White,67,Female,College Degree,Less than $50k,Not Religious,NA,Democrat,Strong Democrat,85,0,NA,NA,30,85,0,85,85,85,85,60,0,60,60,30,70,70,60,70,0,70,60,100,70
Lower Class,White,79,Female,College Degree,Between $50k and $100k,Evangelical Protestant,Almost Every Week,Democrat,Strong Democrat,100,0,40,50,60,100,60,85,100,70,85,70,70,70,85,60,70,85,100,85,30,100,85,85,85
Working Class,White,59,Male,College Degree,NA,Undifferentiated Christian,Almost Every Week,Independent,"Independent, leans Republican",0,86,0,0,55,1,90,0,0,0,50,61,86,30,0,15,52,0,100,60,100,60,0,50,0
Middle Class,White,61,Male,College Degree,Less than $50k,Other Religion,Once or Twice a Month,Independent,"Independent, leans neither",1,49,50,50,50,60,0,70,55,60,50,45,60,45,60,0,50,15,40,40,0,40,60,70,0
Working Class,White,48,Male,College Degree,Between $50k and $100k,Roman Catholic,Once or Twice a Month,Independent,"Independent, leans neither",85,16,45,55,83,85,16,69,71,56,79,44,34,64,56,53,43,46,82,91,7,90,56,53,56
Middle Class,White,54,Male,College Degree,More than $250k,Jewish,A Few Times a Year,Independent,"Independent, leans neither",70,30,30,17,59,49,51,21,31,75,51,16,55,50,51,28,9,21,51,100,9,76,50,69,59
Middle Class,White,80,Female,No College Degree,Between $50k and $100k,Undifferentiated Christian,NA,Independent,"Independent, leans Republican",1,100,60,40,60,100,60,40,70,85,60,70,85,60,40,40,50,50,100,85,50,60,50,60,70
NA,White,30,Female,College Degree,Between $50k and $100k,Mainline Protestant,Every Week,Democrat,Weak Democrat,85,0,50,50,30,100,0,100,85,70,85,15,0,60,100,60,15,100,15,50,15,40,100,70,100
Middle Class,Hispanic,90,Female,No College Degree,Between $50k and $100k,Roman Catholic,Every Week,Democrat,Strong Democrat,60,40,50,40,NA,85,NA,50,50,NA,75,40,50,30,50,5,NA,NA,75,NA,NA,85,50,NA,30
Lower Class,Hispanic,37,Male,No College Degree,Less than $50k,Not Religious,Never,Democrat,Strong Democrat,98,3,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,86,55,18,70,74,73,NA,51,78,77,70
Working Class,Other,49,Male,No College Degree,Less than $50k,Black Protestant,Almost Every Week,Republican,Strong Republican,0,85,15,30,50,50,50,50,0,30,70,40,60,60,30,60,60,0,85,85,50,100,0,85,15
NA,Black,29,Male,No College Degree,Less than $50k,Evangelical Protestant,Once or Twice a Month,Republican,Strong Republican,70,0,39,57,54,15,82,43,61,67,95,26,43,54,6,62,34,30,85,33,54,43,26,57,100
Middle Class,White,41,Male,No College Degree,Between $50k and $100k,Not Religious,NA,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,Hispanic,59,Female,No College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,90,15,41,60,70,94,51,90,70,95,100,41,41,80,86,61,61,86,85,85,31,80,90,86,70
Middle Class,White,36,Male,No College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Hispanic,38,Male,No College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Weak Democrat,100,2,61,0,56,3,10,70,57,61,77,25,45,43,72,12,0,50,25,75,44,40,69,79,57
Middle Class,White,47,Female,College Degree,Between $50k and $100k,Not Religious,NA,Democrat,Weak Democrat,60,2,70,52,52,52,40,40,70,60,50,40,30,60,70,60,30,60,50,50,50,70,40,70,50
Working Class,White,82,Male,No College Degree,Between $50k and $100k,Evangelical Protestant,Almost Every Week,Independent,"Independent, leans Republican",0,85,51,51,50,86,87,51,41,17,70,85,92,42,50,17,86,51,85,87,70,88,51,90,16
Lower Class,Black,67,Male,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Democrat,Strong Democrat,100,30,NA,NA,60,70,NA,50,50,40,100,50,70,85,50,40,40,70,85,NA,50,70,60,100,85
NA,Asian/Pacific Islander,43,Female,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans neither",60,50,51,50,72,52,50,51,85,61,60,60,50,85,51,85,50,51,53,52,51,86,60,100,0
Lower Class,White,57,Female,No College Degree,Less than $50k,Undifferentiated Christian,Almost Every Week,Democrat,Weak Democrat,100,0,NA,NA,NA,NA,100,100,50,70,100,60,0,50,60,50,40,60,100,60,0,60,100,70,100
NA,White,41,Female,College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Democrat",39,2,31,29,53,52,0,100,59,69,85,32,31,31,100,7,47,62,0,63,0,75,99,100,98
Middle Class,White,61,Female,No College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Republican,Strong Republican,15,100,30,15,40,30,85,30,15,30,50,60,100,30,50,60,85,15,100,50,85,85,30,50,15
Middle Class,White,65,Male,College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Republican",2,92,50,51,60,57,59,40,5,60,60,40,85,80,41,30,50,15,70,50,58,46,8,84,3
Middle Class,White,64,Female,No College Degree,Less than $50k,Mainline Protestant,NA,Republican,Strong Republican,0,100,70,50,60,85,85,60,15,0,100,85,100,40,0,30,85,15,100,70,100,85,0,100,0
Middle Class,White,27,Female,College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,100,0,17,1,50,70,2,85,85,52,50,40,1,84,85,51,70,49,23,71,31,71,90,100,51
Working Class,White,64,Female,College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Republican,Strong Republican,40,70,40,50,70,85,60,60,60,70,85,70,85,60,50,70,70,70,100,85,70,85,50,85,50
Working Class,Other,21,Female,No College Degree,Between $50k and $100k,Mainline Protestant,A Few Times a Year,Independent,"Independent, leans Democrat",80,5,50,50,50,50,75,100,75,100,100,50,60,75,85,50,60,85,100,100,75,55,85,50,100
Middle Class,Black,70,Female,College Degree,Less than $50k,Mainline Protestant,Every Week,Independent,"Independent, leans Democrat",85,60,50,50,50,100,85,85,85,85,85,70,70,70,70,60,70,70,100,60,50,70,70,85,60
Middle Class,White,65,Female,College Degree,Between $50k and $100k,Roman Catholic,NA,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,65,Male,College Degree,Between $100k and $250k,Mainline Protestant,A Few Times a Year,Democrat,Strong Democrat,99,0,50,75,60,70,10,90,99,80,80,0,0,85,75,0,0,70,75,75,0,75,50,90,75
NA,White,64,Male,College Degree,Between $100k and $250k,Roman Catholic,Every Week,Democrat,Weak Democrat,60,30,50,50,50,100,50,100,50,50,70,50,50,50,50,40,50,50,50,50,50,95,50,85,50
Middle Class,White,76,Male,College Degree,Between $50k and $100k,Roman Catholic,Every Week,Independent,"Independent, leans Republican",15,60,60,31,70,100,70,15,30,40,100,40,85,70,60,30,30,40,85,85,60,70,60,85,15
Working Class,White,25,Female,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,41,3,5,20,34,51,16,3,63,62,44,18,18,63,73,0,5,88,13,69,1,72,74,96,44
Middle Class,White,90,Female,College Degree,Between $50k and $100k,Roman Catholic,Every Week,Independent,"Independent, leans Republican",3,87,1,0,100,100,51,51,51,52,100,40,100,90,31,51,52,85,85,50,0,90,0,85,72
Working Class,Hispanic,24,Male,No College Degree,Less than $50k,Roman Catholic,A Few Times a Year,Independent,"Independent, leans neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,Other,64,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,Almost Every Week,Independent,"Independent, leans Democrat",60,40,61,71,42,100,59,50,40,61,100,31,41,41,51,30,41,100,100,61,30,31,70,70,85
Middle Class,White,69,Female,College Degree,Less than $50k,Undifferentiated Christian,Once or Twice a Month,Republican,Strong Republican,0,100,0,15,85,60,85,70,15,60,100,85,100,85,70,85,70,30,100,100,100,100,85,100,0
NA,White,41,Other,College Degree,Between $50k and $100k,Evangelical Protestant,Almost Every Week,Independent,"Independent, leans neither",70,16,53,51,42,44,60,70,62,59,66,59,45,72,40,61,34,36,65,47,31,46,29,62,65
Upper Class,White,59,Female,College Degree,More than $250k,Not Religious,NA,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,25,Male,No College Degree,Between $50k and $100k,Roman Catholic,A Few Times a Year,Republican,Strong Republican,0,85,60,50,50,50,60,50,0,85,30,70,85,70,50,60,60,0,85,50,50,85,30,60,0
Middle Class,White,31,Male,No College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Weak Democrat,90,25,0,25,75,0,0,75,90,0,75,0,60,80,90,40,70,75,40,90,40,90,90,100,40
NA,Asian/Pacific Islander,50,Female,No College Degree,Between $50k and $100k,Roman Catholic,Once or Twice a Month,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,76,Female,No College Degree,Between $50k and $100k,Mainline Protestant,NA,Independent,"Independent, leans Republican",30,85,NA,NA,50,70,50,50,85,50,100,85,85,100,100,100,85,50,50,50,70,100,100,100,85
Middle Class,White,70,Male,No College Degree,Less than $50k,Roman Catholic,NA,Democrat,Strong Democrat,98,2,51,50,50,100,51,66,69,70,71,31,60,71,71,41,51,52,50,71,1,70,56,79,70
Middle Class,White,37,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,15,85,50,50,50,50,50,30,60,50,50,50,45,50,30,50,50,15,85,50,50,70,30,50,60
Middle Class,White,65,Male,College Degree,Between $100k and $250k,Not Religious,NA,Democrat,Strong Democrat,0,2,99,50,50,50,60,70,60,100,70,30,70,60,70,30,70,60,70,70,50,85,85,70,85
Working Class,White,38,Male,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Strong Republican,1,70,15,68,NA,83,49,16,16,32,NA,NA,69,84,62,62,NA,50,70,NA,70,70,NA,72,NA
NA,White,NA,Male,College Degree,Between $100k and $250k,Evangelical Protestant,Almost Every Week,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,46,Male,No College Degree,Less than $50k,Evangelical Protestant,NA,Independent,"Independent, leans neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,48,Female,No College Degree,NA,Roman Catholic,Once or Twice a Month,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Hispanic,65,Male,No College Degree,Less than $50k,Roman Catholic,A Few Times a Year,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,69,Female,No College Degree,Less than $50k,Mainline Protestant,NA,Republican,Strong Republican,2,100,51,50,42,62,51,60,3,71,41,61,95,1,51,31,51,16,89,52,60,100,17,85,2
Middle Class,White,34,Male,College Degree,Between $50k and $100k,Undifferentiated Christian,NA,Independent,"Independent, leans neither",72,36,36,51,70,77,30,51,60,70,50,41,41,70,62,55,55,51,56,57,50,70,50,85,66
Middle Class,White,59,Male,No College Degree,Less than $50k,Roman Catholic,NA,Independent,"Independent, leans Republican",0,95,87,71,51,100,48,49,50,61,50,50,51,50,60,60,38,0,98,30,50,92,50,95,0
Working Class,White,28,Female,No College Degree,Less than $50k,Mainline Protestant,Almost Every Week,Independent,"Independent, leans Democrat",2,75,32,18,70,61,94,3,50,80,70,48,30,61,4,46,2,49,100,80,32,100,3,68,60
Middle Class,Hispanic,56,Male,College Degree,Between $50k and $100k,Jewish,NA,Democrat,Strong Democrat,100,0,50,NA,50,85,0,60,85,100,70,0,0,70,100,50,15,60,50,85,0,60,70,70,60
NA,White,34,Male,No College Degree,Between $100k and $250k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Democrat",65,0,51,49,49,75,50,73,60,100,73,3,50,25,100,16,11,51,50,100,0,82,85,100,80
Middle Class,White,54,Female,College Degree,Less than $50k,Mainline Protestant,Every Week,Republican,Strong Republican,2,86,50,49,50,39,70,1,29,61,71,60,89,14,38,13,70,40,90,84,85,92,3,71,2
NA,White,52,Female,No College Degree,Between $50k and $100k,Roman Catholic,Almost Every Week,Independent,"Independent, leans neither",16,68,43,19,51,89,59,27,23,58,61,36,83,71,33,26,21,14,85,67,44,86,17,91,9
Working Class,Hispanic,55,Male,College Degree,Between $100k and $250k,Evangelical Protestant,Every Week,Democrat,Weak Democrat,100,0,50,85,50,50,100,50,50,100,100,70,50,50,50,40,100,50,100,100,50,100,50,100,0
Middle Class,White,64,Male,No College Degree,Less than $50k,Not Religious,NA,Democrat,Strong Democrat,70,31,50,50,50,90,10,80,80,100,100,20,50,50,90,20,50,50,50,70,10,90,50,100,70
Middle Class,White,29,Female,College Degree,Between $100k and $250k,Roman Catholic,NA,Democrat,Weak Democrat,100,0,40,30,60,100,15,100,85,85,50,40,15,85,100,60,50,100,100,100,0,70,100,100,85
Middle Class,White,66,Female,College Degree,Between $100k and $250k,Roman Catholic,NA,Democrat,Strong Democrat,90,4,65,74,60,97,10,NA,68,82,87,50,66,74,100,74,62,94,47,91,36,93,98,80,68
Working Class,White,71,Male,No College Degree,Between $50k and $100k,Roman Catholic,A Few Times a Year,Democrat,Weak Democrat,85,0,40,40,40,100,40,60,70,85,70,40,40,60,60,40,60,60,60,70,30,70,50,70,60
Middle Class,White,81,Female,No College Degree,Less than $50k,Mainline Protestant,Almost Every Week,Democrat,Strong Democrat,65,15,50,50,50,85,35,60,40,75,45,75,80,75,70,40,75,45,75,50,50,75,50,85,15
